match_id,year,stage,home_team,away_team,score_90_home,score_90_away,extra_time_home_goals,extra_time_away_goals,score_120_home,score_120_away,et_total_goals,et_winner,penalty_shootout,match_name
M-1934-01,1934,round of 16,Austria,France,1,1,2,1,3,2,3,home,0,Austria vs France
M-1934-17,1934,final,Italy,Czechoslovakia,1,1,1,0,2,1,1,home,0,Italy vs Czechoslovakia
M-1938-05,1938,round of 16,Italy,Norway,1,1,1,0,2,1,1,home,0,Italy vs Norway
M-1938-06,1938,round of 16,Brazil,Poland,4,4,2,1,6,5,3,home,0,Brazil vs Poland
M-1938-07,1938,round of 16,Czechoslovakia,Netherlands,0,0,3,0,3,0,3,home,0,Czechoslovakia vs Netherlands
M-1954-23,1954,semi-finals,Hungary,Uruguay,2,2,2,0,4,2,2,home,0,Hungary vs Uruguay
M-1966-32,1966,final,England,West Germany,2,2,2,0,4,2,2,home,0,England vs West Germany
M-1970-27,1970,quarter-finals,Soviet Union,Uruguay,0,0,0,1,0,1,1,away,0,Soviet Union vs Uruguay
M-1970-28,1970,quarter-finals,West Germany,England,2,2,1,0,3,2,1,home,0,West Germany vs England
M-1970-30,1970,semi-finals,Italy,West Germany,1,1,3,2,4,3,5,home,0,Italy vs West Germany
M-1978-38,1978,final,Argentina,Netherlands,1,1,2,0,3,1,2,home,0,Argentina vs Netherlands
M-1982-50,1982,semi-finals,West Germany,France,1,1,2,2,3,3,4,draw,1,West Germany vs France
M-1986-38,1986,round of 16,Soviet Union,Belgium,2,2,1,2,3,4,3,away,0,Soviet Union vs Belgium
M-1986-45,1986,quarter-finals,Brazil,France,1,1,0,0,1,1,0,draw,1,Brazil vs France
M-1986-46,1986,quarter-finals,West Germany,Mexico,0,0,0,0,0,0,0,draw,1,West Germany vs Mexico
M-1986-48,1986,quarter-finals,Spain,Belgium,1,1,0,0,1,1,0,draw,1,Spain vs Belgium
M-1986-51,1986,third-place match,Belgium,France,2,2,0,2,2,4,2,away,0,Belgium vs France
M-1990-37,1990,round of 16,Cameroon,Colombia,0,0,2,1,2,1,3,home,0,Cameroon vs Colombia
M-1990-41,1990,round of 16,Republic of Ireland,Romania,0,0,0,0,0,0,0,draw,1,Republic of Ireland vs Romania
M-1990-43,1990,round of 16,Spain,Yugoslavia,1,1,0,1,1,2,1,away,0,Spain vs Yugoslavia
M-1990-44,1990,round of 16,England,Belgium,0,0,1,0,1,0,1,home,0,England vs Belgium
M-1990-45,1990,quarter-finals,Argentina,Yugoslavia,0,0,0,0,0,0,0,draw,1,Argentina vs Yugoslavia
M-1990-48,1990,quarter-finals,Cameroon,England,2,2,0,1,2,3,1,away,0,Cameroon vs England
M-1990-49,1990,semi-finals,Argentina,Italy,1,1,0,0,1,1,0,draw,1,Argentina vs Italy
M-1990-50,1990,semi-finals,West Germany,England,1,1,0,0,1,1,0,draw,1,West Germany vs England
M-1994-43,1994,round of 16,Nigeria,Italy,1,1,0,1,1,2,1,away,0,Nigeria vs Italy
M-1994-44,1994,round of 16,Mexico,Bulgaria,1,1,0,0,1,1,0,draw,1,Mexico vs Bulgaria
M-1994-48,1994,quarter-finals,Romania,Sweden,1,1,1,1,2,2,2,draw,1,Romania vs Sweden
M-1994-52,1994,final,Brazil,Italy,0,0,0,0,0,0,0,draw,1,Brazil vs Italy
M-1998-51,1998,round of 16,France,Paraguay,0,0,1,0,1,0,1,home,0,France vs Paraguay
M-1998-56,1998,round of 16,Argentina,England,2,2,0,0,2,2,0,draw,1,Argentina vs England
M-1998-57,1998,quarter-finals,Italy,France,0,0,0,0,0,0,0,draw,1,Italy vs France
