issue,quotation_bucket,championship_id,score,matches,forecasts,score_forecasts,player_weighted_share,match_weighted_share,ci95_low,ci95_high
away,0-40,all,0-3,6,569,145,0.2548330404217926,0.25497977466462507,0.19204356716568738,0.31791598216356276
away,0-40,all,0-2,6,569,109,0.19156414762741653,0.1924352514225743,0.14221475846005405,0.24265574438509457
away,0-40,all,1-3,6,569,74,0.13005272407732865,0.13034348079186556,0.08351399116877929,0.17717297041495184
away,0-40,all,0-1,6,569,71,0.12478031634446397,0.1261934981362264,0.04905113703245838,0.20333585923999442
away,0-40,all,0-4,6,569,61,0.10720562390158173,0.1062695172361104,0.05616563864857677,0.15637339582364404
away,0-40,all,0-5,6,569,37,0.06502636203866433,0.06416326872862523,0.011594135929959337,0.11673240152729111
away,0-40,all,1-2,6,569,25,0.043936731107205626,0.04418714882775416,0.025012713171305094,0.06336158448420323
away,0-40,all,1-4,6,569,16,0.028119507908611598,0.028243744285938403,0.009253274202137115,0.047234214369739694
away,0-40,all,0-6,6,569,12,0.0210896309314587,0.020549886621315194,0.0,0.04795770068236242
away,0-40,all,0-7,6,569,6,0.01054481546572935,0.010274943310657597,0.0,0.02397885034118121
away,0-40,all,1-6,6,569,5,0.008787346221441126,0.008503401360544218,0.0,0.025170068027210883
away,0-40,all,1-5,6,569,4,0.007029876977152899,0.006999657832524574,0.00017209107064901797,0.013827224594400129
away,0-40,all,2-4,6,569,2,0.0035149384885764497,0.003455066237021124,0.0,0.00773878677166851
away,0-40,all,0-8,6,569,1,0.0017574692442882249,0.0017006802721088435,0.0,0.005034013605442176
away,0-40,all,1-8,6,569,1,0.0017574692442882249,0.0017006802721088435,0.0,0.005034013605442176
away,40-60,all,0-2,36,3084,757,0.2454604409857328,0.24459346900090415,0.2178797581255461,0.2713071798762622
away,40-60,all,1-2,36,3084,514,0.16666666666666666,0.17487529060377385,0.1408522335656868,0.2088983476418609
away,40-60,all,1-3,36,3084,486,0.1575875486381323,0.15685645993224204,0.13702240409491812,0.17669051576956596
away,40-60,all,0-3,36,3084,511,0.16569390402075226,0.15651726166361626,0.1239588969524475,0.18907562637478503
away,40-60,all,0-1,36,3084,440,0.14267185473411154,0.15106678163294987,0.11500821995950888,0.18712534330639086
away,40-60,all,0-4,36,3084,133,0.04312581063553826,0.04032211342719918,0.027472027929684898,0.05317219892471346
away,40-60,all,1-4,36,3084,111,0.03599221789883268,0.034128545202288765,0.024585901605468332,0.043671188799109195
away,40-60,all,2-3,36,3084,41,0.013294422827496757,0.013489986040909138,0.008374989726436558,0.018604982355381716
away,40-60,all,0-5,36,3084,41,0.013294422827496757,0.012483699151416283,0.007339003064776353,0.01762839523805621
away,40-60,all,2-4,36,3084,19,0.00616083009079118,0.006282676015847622,0.0032386782682711102,0.009326673763424134
away,40-60,all,1-5,36,3084,17,0.005512321660181583,0.005237743727126354,0.002456100785630009,0.008019386668622699
away,40-60,all,0-6,36,3084,7,0.002269779507133593,0.0020359932607485623,0.00043078378500186203,0.003641202736495263
away,40-60,all,1-6,36,3084,5,0.001621271076523995,0.001520754751752285,0.0002622034316426807,0.0027793060718618893
away,40-60,all,0-7,36,3084,1,0.00032425421530479895,0.00030864197530864197,0.0,0.0009135802469135803
away,40-60,all,2-5,36,3084,1,0.00032425421530479895,0.0002805836139169473,0.0,0.0008305274971941637
